year	age	n
2012	68	0
2013	68	24
2014	68	0
2015	68	66
2016	68	22
2017	68	112
2018	68	81
2019	68	128
2020	68	157
2021	68	181
2022	68	405
1989	67	0
1990	67	0
1991	67	0
1992	67	0
1993	67	24
1994	67	24
1995	67	0
1996	67	24
1997	67	24
1998	67	24
1999	67	0
2000	67	27
2001	67	0
2002	67	0
2003	67	0
2004	67	0
2005	67	24
2006	67	0
2007	67	24
2008	67	27
2009	67	0
2010	67	23
2011	67	0
2012	67	0
2013	67	24
2014	67	0
2015	67	0
2016	67	40
2017	67	78.5
2018	67	61
2019	67	261
2020	67	294
2021	67	231
2022	67	239
1989	66	0
1990	66	0
1991	66	0
1992	66	0
1993	66	24
1994	66	0
1995	66	0
1996	66	0
1997	66	0
1998	66	0
1999	66	28
2000	66	0
2001	66	23
2002	66	0
2003	66	0
2004	66	24
2005	66	27
2006	66	24
2007	66	0
2008	66	24
2009	66	0
2010	66	0
2011	66	47
2012	66	23
2013	66	80
2014	66	19
2015	66	78.5
2016	66	57
2017	66	78.5
2018	66	120.5
2019	66	116
2020	66	231
2021	66	276
2022	66	608.5
1989	65	0
1990	65	0
1991	65	0
1992	65	22
1993	65	0
1994	65	0
1995	65	22
1996	65	0
1997	65	23
1998	65	0
1999	65	0
2000	65	47
2001	65	0
2002	65	0
2003	65	23
2004	65	24
2005	65	0
2006	65	0
2007	65	23
2008	65	22
2009	65	22
2010	65	42
2011	65	47
2012	65	61
2013	65	0
2014	65	17
2015	65	76
2016	65	96
2017	65	157
2018	65	231
2019	65	282
2020	65	301
2021	65	355
2022	65	608.5
1989	64	0
1990	64	0
1991	64	0
1992	64	0
1993	64	0
1994	64	22
1995	64	0
1996	64	23
1997	64	0
1998	64	22
1999	64	70
2000	64	0
2001	64	0
2002	64	0
2003	64	23
2004	64	22
2005	64	0
2006	64	46
2007	64	0
2008	64	0
2009	64	0
2010	64	22
2011	64	0
2012	64	56
2013	64	54
2014	64	54
2015	64	90
2016	64	90
2017	64	70
2018	64	231
2019	64	153
2020	64	261
2021	64	368
2022	64	608.5
1989	63	0
1990	63	0
1991	63	0
1992	63	0
1993	63	22
1994	63	22
1995	63	0
1996	63	0
1997	63	23
1998	63	0
1999	63	0
2000	63	0
2001	63	22
2002	63	0
2003	63	0
2004	63	46
2005	63	0
2006	63	21
2007	63	22
2008	63	22
2009	63	0
2010	63	17
2011	63	36
2012	63	76
2013	63	51
2014	63	70
2015	63	87
2016	63	120.5
2017	63	116
2018	63	141
2019	63	141
2020	63	282
2021	63	608.5
2022	63	340
1989	62	46
1990	62	46
1991	62	0
1992	62	22
1993	62	0
1994	62	0
1995	62	0
1996	62	0
1997	62	0
1998	62	0
1999	62	22
2000	62	21
2001	62	46
2002	62	0
2003	62	0
2004	62	64
2005	62	0
2006	62	42
2007	62	0
2008	62	22
2009	62	36
2010	62	53
2011	62	17
2012	62	17
2013	62	87
2014	62	17
2015	62	0
2016	62	96
2017	62	137
2018	62	172
2019	62	181
2020	62	234
2021	62	281
2022	62	608.5
1989	61	23
1990	61	23
1991	61	0
1992	61	0
1993	61	76
1994	61	23
1995	61	0
1996	61	0
1997	61	46
1998	61	23
1999	61	22
2000	61	0
2001	61	21
2002	61	0
2003	61	0
2004	61	0
2005	61	19
2006	61	40
2007	61	21
2008	61	32
2009	61	16
2010	61	17
2011	61	0
2012	61	32
2013	61	32
2014	61	96
2015	61	91
2016	61	128
2017	61	174
2018	61	141
2019	61	239
2020	61	398
2021	61	327
2022	61	608.5
1989	60	0
1990	60	0
1991	60	0
1992	60	0
1993	60	0
1994	60	0
1995	60	0
1996	60	21
1997	60	0
1998	60	78.5
1999	60	19
2000	60	0
2001	60	0
2002	60	40
2003	60	17
2004	60	0
2005	60	0
2006	60	22
2007	60	17
2008	60	17
2009	60	70
2010	60	64
2011	60	48
2012	60	16
2013	60	32
2014	60	15
2015	60	84
2016	60	87
2017	60	112
2018	60	348
2019	60	234
2020	60	608.5
2021	60	608.5
2022	60	608.5
1989	59	0
1990	59	0
1991	59	0
1992	59	22
1993	59	22
1994	59	64
1995	59	0
1996	59	0
1997	59	0
1998	59	0
1999	59	39
2000	59	40
2001	59	0
2002	59	0
2003	59	0
2004	59	19
2005	59	40
2006	59	32
2007	59	66
2008	59	32
2009	59	29
2010	59	32
2011	59	16
2012	59	90
2013	59	57
2014	59	54
2015	59	68.5
2016	59	133
2017	59	276
2018	59	239
2019	59	281
2020	59	701.5
2021	59	608.5
2022	59	608.5
1989	58	48
1990	58	48
1991	58	0
1992	58	0
1993	58	0
1994	58	22
1995	58	0
1996	58	0
1997	58	0
1998	58	40
1999	58	21
2000	58	96
2001	58	36
2002	58	56
2003	58	17
2004	58	61
2005	58	48
2006	58	96
2007	58	47
2008	58	14
2009	58	0
2010	58	30
2011	58	29
2012	58	28
2013	58	107
2014	58	78.5
2015	58	103
2016	58	177
2017	58	228
2018	58	98
2019	58	266
2020	58	405
2021	58	608.5
2022	58	608.5
1989	57	0
1990	57	0
1991	57	0
1992	57	0
1993	57	0
1994	57	21
1995	57	0
1996	57	39
1997	57	17
1998	57	0
1999	57	17
2000	57	54
2001	57	0
2002	57	17
2003	57	17
2004	57	16
2005	57	15
2006	57	96
2007	57	29
2008	57	29
2009	57	61
2010	57	29
2011	57	40
2012	57	51
2013	57	66
2014	57	50
2015	57	98
2016	57	271
2017	57	231
2018	57	271
2019	57	340
2020	57	608.5
2021	57	608.5
2022	57	393
1989	56	0
1990	56	0
1991	56	21
1992	56	0
1993	56	0
1994	56	0
1995	56	19
1996	56	61
1997	56	0
1998	56	37
1999	56	36
2000	56	0
2001	56	0
2002	56	56
2003	56	30
2004	56	76
2005	56	90
2006	56	128
2007	56	57
2008	56	29
2009	56	56
2010	56	27
2011	56	76
2012	56	64
2013	56	61
2014	56	76
2015	56	87
2016	56	168
2017	56	266
2018	56	306
2019	56	373
2020	56	397
2021	56	608.5
2022	56	608.5
1989	55	19
1990	55	19
1991	55	17
1995	55	36
1996	55	17
1997	55	17
1998	55	17
2000	55	36
2001	55	37
2002	55	46
2003	55	88.5
2004	55	88.5
2005	55	68.5
2006	55	57
2007	55	42
2008	55	42
2009	55	68.5
2010	55	24
2011	55	64
2012	55	61
2013	55	124.5
2014	55	61
2015	55	116
2016	55	124.5
2017	55	367
2018	55	179
2019	55	335
2020	55	608.5
2021	55	608.5
2022	55	608.5
1992	55	0
1993	55	0
1994	55	0
1999	55	0
1989	54	17
1990	54	17
1991	54	0
1992	54	17
1993	54	90
1994	54	0
1995	54	36
1996	54	17
1997	54	0
1998	54	0
1999	54	53
2000	54	36
2001	54	29
2002	54	71
2003	54	14
2004	54	27
2005	54	40
2006	54	177
2007	54	27
2008	54	24
2009	54	35
2010	54	11
2011	54	61
2012	54	96
2013	54	107
2014	54	32
2015	54	35
2016	54	239
2017	54	177
2018	54	314
2019	54	359
2020	54	608.5
2021	54	608.5
2022	54	608.5
1989	53	40
1990	53	40
1991	53	17
1992	53	0
